Disaron_lien_origine,Nom_Disaron,Titre Disaron,Paru le,Annee_1re publication,Publication-Tableau-Carte,Collection Libellé Agreste,Sous-Collection Libellé Agreste,Sous-collection (nom court),Thèmes_CORRIGÉS,Thème CORRIGÉ-1,Thème CORRIGÉ-2,NB-THEM,Pondération,Descripteurs
http:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraCex18005/detail/,IraCex18005,"Commerce extérieur. En novembre 2017, l’excédent agroalimentaire français progresse de nouveau sur un an",2018_01,2018,p,Conjoncture – Infos Rapides,Infos Rap - Commerce extérieur,Commerce extérieur,COMEXT,COMEXT,,1,59,PRODUIT AGROALIMENTAIRE| CONJONCTURE| EXPORTATION| IMPORTATION
http:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraPri18014/detail/,IraPri18014,"Prix agricoles et alimentaires. En décembre 2017, quasi-stabilité (- 0,2 %) des prix des produits agricoles à la production sur un an",2018_01,2018,p,Conjoncture – Infos Rapides,Infos Rap - Prix,Prix,PRIX,PRIX,,1,57,INDICE| CONJONCTURE
http:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraLeg18007/detail/,IraLeg18007,Carotte. Légère amélioration des cours de la carotte depuis septembre,2018_01,2018,p,Conjoncture – Infos Rapides,Infos Rap - Légumes,Légumes,LEGUME,LEGUME,,1,54,PRIX| CONJONCTURE| CAROTTE| RÉCOLTE| COMMERCE EXTÉRIEUR| PRODUCTION VÉGÉTALE
http:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraLai18004/detail/,IraLai18004,Lait. Une collecte de lait de vache relancée en fin d’année 2017,2018_01,2018,p,Conjoncture – Infos Rapides,Infos Rap - Lait,Lait,LAIT,LAIT,,1,34,LAIT DE VACHE| CONJONCTURE| LAIT DE CHÈVRE| PRATIQUE D'ÉLEVAGE| COLLECTE LAITIÈRE| LAIT DE BREBIS
http:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraLeg18009/detail/,IraLeg18009,Laitue. Laitues d’hiver de la campagne 2017-2018 : repli sur un an des surfaces et de la production,2018_01,2018,p,Conjoncture – Infos Rapides,Infos Rap - Légumes,Légumes,LEGUME,LEGUME,,1,31,LAITUE| PRIX| CONJONCTURE| RÉCOLTE| COMMERCE EXTÉRIEUR| PRODUCTION VÉGÉTALE
http:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraCli18001/detail/,IraCli18001,"Climatologie.  Un mois de décembre pluvieux, sauf dans le Sud-Est",2018_01,2018,p,Conjoncture – Infos Rapides,Infos Rap - Climatologie,Climatologie,CLIMAT,CLIMAT,,1,28,MÉTÉOROLOGIE| CONJONCTURE| CLIMATOLOGIE
http:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraCpr18002/detail/,IraCpr18002,"Coûts de production. En novembre 2017, le prix d’achat des intrants a légèrement augmenté",2018_01,2018,p,Conjoncture – Infos Rapides,Infos Rap - Coûts de production,Coûts de production,PRIX,PRIX,,1,26,
http:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo18011/detail/,IraAbo18011,"Bovins. En décembre 2017, repli des abattages de bovins mâles",2018_01,2018,p,Conjoncture – Infos Rapides,Infos Rap - Animaux,Animaux,BOVIN,BOVIN,,1,24,BOVIN| ABATTAGE D'ANIMAUX| PRIX| PRODUCTION ANIMALE| CONJONCTURE| COMMERCE EXTÉRIEUR| CONSOMMATION ALIMENTAIRE
http:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo18013/detail/,IraAbo18013,"Ovins : En novembre 2017, une production ovine stable en poids",2018_01,2018,p,Conjoncture – Infos Rapides,Infos Rap - Animaux,Animaux,CAPOV,CAPOV,,1,24,ABATTAGE D'ANIMAUX| OVIN| PRIX| PRODUCTION ANIMALE| CONJONCTURE| COMMERCE EXTÉRIEUR| CONSOMMATION ALIMENTAIRE
http:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraFru18006/detail/,IraFru18006,"Stocks de pommes et de poires. Fin décembre 2017, les stocks de pommes sont inférieurs à ceux de fin décembre 2016",2018_01,2018,p,Conjoncture – Infos Rapides,Infos Rap - Fruits,Fruits,FRUIT,FRUIT,,1,23,PRIX| STOCK| CONJONCTURE| RÉCOLTE| COMMERCE EXTÉRIEUR| PRODUCTION VÉGÉTALE
http:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraLeg18010/detail/,IraLeg18010,Poireau. La production de poireaux de la campagne 2017-2018 serait en hausse de 4 % sur un an,2018_01,2018,p,Conjoncture – Infos Rapides,Infos Rap - Légumes,Légumes,LEGUME,LEGUME,,1,23,PRIX| POIREAU| CONJONCTURE| RÉCOLTE| COMMERCE EXTÉRIEUR| PRODUCTION VÉGÉTALE
http:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo18012/detail/,IraAbo18012,"Porcins : En décembre 2017, le prix du porc charcutier est au plus bas",2018_01,2018,p,Conjoncture – Infos Rapides,Infos Rap - Animaux,Animaux,PORC,PORC,,1,22,ABATTAGE D'ANIMAUX| PRIX| PRODUCTION ANIMALE| CONJONCTURE| PORCIN| COMMERCE EXTÉRIEUR| CONSOMMATION ALIMENTAIRE
http:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraGcu18017/detail/,IraGcu18017,Grandes cultures. Semis d’hiver 2018 : stabilité pour le blé tendre et baisse pour les orges d’hiver,2018_02,2018,p,Conjoncture – Infos Rapides,Infos Rap - Grandes cultures,Grandes cultures,GC,GC,,1,285,PRIX| CONJONCTURE| RÉCOLTE| PRODUCTION VÉGÉTALE
http:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraCex18019/detail/,IraCex18019,"Commerce extérieur. En 2017, l’excédent agroalimentaire français diminue pour la deuxième année consécutive",2018_02,2018,p,Conjoncture – Infos Rapides,Infos Rap - Commerce extérieur,Commerce extérieur,COMEXT,COMEXT,,1,55,PRODUIT AGROALIMENTAIRE| CONJONCTURE| EXPORTATION| IMPORTATION
